round,cid,n_k,rank,seed,lr,steps,applied,skipped,nonfinite,sec,vram_gb,loss,gnorm
21,14,3063594,0,42210287,0.000645841155382361,5984,5982,2,0,33.25569795499996,6.821379661560059,0.038805806967615084,0.4092580883927825
21,15,1212957,1,42210288,0.000645841155382361,2370,2368,2,0,13.057628968000245,6.738023281097412,0.11648881757581556,1.2215505032925993
21,16,870217,1,42210289,0.000645841155382361,1700,1697,3,0,8.956349346000025,6.7225871086120605,0.09913664926271545,0.8860363934977166
21,17,5890990,0,42210290,0.000645841155382361,11506,11501,5,0,63.86180705799961,6.948785305023193,0.05517314900606469,0.5676471407377619
21,18,1063458,1,42210291,0.000645841155382361,2078,2076,2,0,11.301911808999648,6.731289863586426,0.09218979616845045,0.6914366499766679
21,19,1173148,0,42210292,0.000645841155382361,2292,2291,1,0,12.654487865000192,6.736230373382568,0.08428989045747967,0.7206139833008238
22,0,3352748,1,42220280,0.0006151478623083757,6549,6546,3,0,35.8090936210001,6.83604621887207,0.09655164047879908,0.8733444983100367
22,1,1783872,1,42220281,0.0006151478623083757,3485,3483,2,0,19.19467377899946,6.763737678527832,0.0706022505167398,0.6642495132608384
22,2,2652819,1,42220282,0.0006151478623083757,5182,5179,3,0,28.902234236000368,6.8028788566589355,0.05349684304817231,0.5950712066609143
22,3,1455566,1,42220283,0.0006151478623083757,2843,2841,2,0,15.504514006000136,6.748951435089111,0.11196189378189898,0.9328887413102781
22,4,1864534,1,42220284,0.0006151478623083757,3642,3640,2,0,20.099898550000034,6.7673726081848145,0.14580143519810268,1.1270813658997252
22,5,1932238,0,42220285,0.0006151478623083757,3774,3771,3,0,20.83228247000079,6.770422458648682,0.09848441662885757,0.9873667747074715
22,6,3372587,1,42220286,0.0006151478623083757,6588,6583,5,0,36.03628822900009,6.836348533630371,0.0804313185655761,0.7788370020317484
22,7,1472203,0,42220287,0.0006151478623083757,2876,2874,2,0,15.567224407999674,6.749701023101807,0.1733115348205354,1.1779154841901531
